Secure Access Service Edge,Nov Wk4,Dec Wk4,Jan Wk5,Feb Wk4
Top performer,PA (92.6%),PA (94.7%),PA (95.3%),FT (94.1%)
Fortinet,86.3%,89.6%,90.9%,PA (93.7%)
,,,,
OT Security,Nov Wk4,Dec Wk4,Jan Wk5,Feb Wk4
Top performer,FT(86.8%),FT (90.3%),FT (91.4%),FT (92.4%)
Fortinet,,,,
ZTNA,Nov Wk4,Dec Wk4,Jan Wk5,Feb Wk4
Top performer,PA (88.4%),PA (93.9%),PA (90.3%),PA (91.3%)
Fortinet,67.4%,75.4%,74.1%,78.5%
Cloud Security,Nov Wk4,Dec Wk4,Jan Wk5,Feb Wk4
Top performer,PA (96.3%),PA (92.9%),PA (90.6%),PA (92.3%)
Fortinet,52.0%,60.9%,64.4%,73.0%
SecOps,Nov Wk4,Dec Wk4,Jan Wk5,Feb Wk4
Top performer,CS (58.5%),CS (63.2%),CS (58.6%),CS (63.6%)
Fortinet,23.8%,16.4%,18.7%,22.0%
