,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,Cato Network,,,,Sentinelone,,
,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,,,,,,,
Total  Keywords,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,,2025 Dec,2026 Jan,2026 Feb,,2025 Dec,2026 Jan,2026 Feb
NGFW/Firewall (> SV 50),1240,1421,995,896,944,981,998,999,,1132,1177,756,665,700,742,755,825,,170,174,87,85,103,102,109,109,,1129,1224,848,727,756,860,909,917,,1115,1198,708,564,560,562,562,567,,63,74,80,89,,,89,99,86,,25,32,34
SD WAN (> SV 50),309,362,307,288,289,295,304,293,,316,354,315,297,308,306,314,329,,168,185,138,127,135,128,125,124,,309,357,314,283,291,309,312,306,,222,236,91,48,65,68,79,74,,0,1,1,0,,,185,179,132,,1,2,2
OT Security (> SV 50),40,46,34,30,24,29,29,28,,40,44,24,21,18,17,18,20,,0,0,0,1,0,1,0,,,34,43,24,19,14,20,20,20,,25,25,8,2,6,7,9,8,,1,1,1,1,,,,,1,,9,10,9
SASE (> SV 50),184,202,186,175,181,189,196,193,,180,185,154,129,144,154,160,164,,98,83,37,33,45,65,70,65,,187,202,189,179,182,195,200,200,,150,170,101,65,99,114,114,105,,35,44,48,40,,,205,207,171,,51,53,49
Zero Trust / ZTNA (> SV 50),301,307,218,179,210,218,226,222,,310,312,163,104,126,141,135,139,,71,80,20,12,22,23,22,30,,325,348,246,225,224,232,228,237,,242,250,99,46,96,115,104,105,,204,217,215,220,,,71,72,73,,101,106,93
Cloud Security,,538,259,231,259,299,275,305,,,471,177,127,137,165,157,167,,,64,22,19,20,19,20,26,,,502,265,203,219,254,239,277,,,552,293,237,223,215,208,221,,303,323,290,317,,,41,41,49,,376,376,370
Ransomware,1294,1318,848,745,723,699,687,675,,440,443,139,130,113,127,124,131,,81,80,29,26,20,18,14,15,,1052,1084,448,281,282,310,314,311,,1295,1320,610,404,366,344,327,317,,398,397,401,388,,,18,24,22,,416,414,401
AI CyberSecurity,,,,,,32,31,33,,,,,,,29,32,32,,,,,,,1,6,6,,,,,,,35,41,41,,,,,,,28,27,27,,,34,31,31,,,9,15,15,,43,45,40
Quantum Security,,,,,,3,3,3,,,,,,,5,4,4,,,,,,,0,,0,,,,,,,6,4,4,,,,,,,1,1,1,,,,,0,,,,,0,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,,,,,,,
Cumulative traffic*,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,,2025 Dec,2026 Jan,2026 Feb,,2025 Dec,2026 Jan,2026 Feb
NGFW/Firewall (> SV 50),18947,23092,25392,23104,24692,27746,30861,30105,,16293,15420,16155,15861,15826,24132,29153,30462,,256,413,384,782,836,626,687,702,,10265,11043,11770,11946,12637,21611,23649,23938,,5250,6262,5016,4294,5126,4772,4814,5881,,407,338,317,451,,,270,306,351,,62,60,62
SD WAN (> SV 50),4029,5416,6311,5961,5984,6055,6196,5974,,8246,10236,10316,9702,9574,8833,8824,11169,,1674,1545,1737,1584,1554,1538,1138,1061,,7517,7150,7080,6979,7379,8021,8281,8073,,217,183,163,98,262,167,215,249,,0,0,0,0,,,1118,1074,1108,,0,0,0
OT Security (> SV 50),566,872,939,1073,1043,1043,1018,1258,,295,330,343,392,349,480,497,438,,0,0,0,0,0,0,0,,,302,232,270,244,267,674,642,703,,10,4,0,0,2,0,1,1,,15,16,16,14,,,,,0,,6,9,12
