Visibility %,2025 Nov,2025 Dec,2026 Jan,2026 Feb
Fortinet ,57.3%,57.8%,57.7%,63.70%
Palo Alto,40.9%,43.5%,43.5%,42.40%
Checkpoint,14.9%,15.8%,15.9%,14.30%
HPE,1.6%,1.8%,2.1%,2.20%
Cisco,31.3%,34.6%,33.9%,32.50%
CrowdStrike,14.5%,16.3%,16.0%,15.40%
Cato Networks,6.3%,6.5%,6.9%,7.00%
Sentinelone,10.3%,10.6%,11.3%,11.60%
,,,,
,,,,
Share of Voice %,2025 Nov,2025 Dec,2026 Jan,2026 Feb
Fortinet ,10.8%,10.1%,10.0%,11.20%
Palo Alto,7.7%,7.5%,7.5%,7.40%
Checkpoint,2.8%,2.8%,2.8%,2.50%
HPE,0.3%,0.3%,0.3%,0.40%
Cisco,5.8%,6.0%,5.9%,5.70%
CrowdStrike,2.7%,2.8%,2.8%,2.70%
Cato Networks,1.2%,1.1%,1.2%,1.20%
Sentinelone,1.9%,1.9%,1.9%,2.00%
,,,,
,,,,
Citation %,2025 Nov,2025 Dec,2026 Jan,2026 Feb
Fortinet ,9.2%,12.2%,12.4%,11.40%
Palo Alto,2.0%,1.8%,1.8%,1.70%
Checkpoint,1.4%,0.9%,0.9%,0.90%
HPE,1.1%,0.1%,0.1%,0.20%
Cisco,1.4%,1.1%,1.1%,1.00%
CrowdStrike,1.0%,0.4%,0.4%,0.40%
Cato Networks,0.2%,0.1%,0.2%,0.20%
Sentinelone,2.0%,1.6%,1.5%,1.70%
