,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,Cato Network,,,,Sentinelone,,
Total  Keywords,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,,2025 Dec,2026 Jan,2026 Feb,,2025 Dec,2026 Jan,2026 Feb
OT Security ,40,46,34,30,24,29,29,28,,40,44,24,21,18,17,18,20,,0,0,0,1,0,1,0,0,,34,43,24,19,14,20,20,20,,25,25,8,2,6,7,9,8,,1,1,1,1,,,0,0,1,,9,10,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,Cato Network,,,,Sentinelone,,
Cumulative traffic*,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,,2025 Dec,2026 Jan,2026 Feb,,2025 Dec,2026 Jan,2026 Feb
OT Security (> SV 50),566,872,939,1073,1043,1043,1018,1258,,295,330,343,392,349,480,497,438,,0,0,0,0,0,0,0,0,,302,232,270,244,267,674,642,703,,10,4,0,0,2,0,1,1,,15,16,16,14,,,0,0,0,,6,9,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,Cato Network,,,,Sentinelone,,
No. of KWs Ranking on Page 1,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,,2025 Dec,2026 Jan,2026 Feb,,2025 Dec,2026 Jan,2026 Feb
OT Security (> SV 50),25,27,29,28,24,28,28,28,,14,17,20,16,17,13,14,16,,0,0,0,0,0,0,0,0,,10,18,15,15,13,18,18,19,,1,0,0,0,0,0,2,2,,1,1,1,1,,,0,0,0,,1,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,Cato Network,,,,Sentinelone,,
AIO,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,,2025 Dec,2026 Jan,2026 Feb,,2025 Dec,2026 Jan,2026 Feb
OT Security (> SV 50),19,22,17,18,13,15,16,14,,20,21,16,14,11,12,15,14,,0,0,0,0,0,1,0,0,,18,22,15,13,9,13,16,14,,15,15,6,2,6,7,9,6,,0,1,1,1,,,0,0,1,,7,8,6
