,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,Cato Network,,,,Sentinelone,,
Total  Keywords,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,,2025 Dec,2026 Jan,2026 Feb,,2025 Dec,2026 Jan,2026 Feb
Ransomware,1294,1318,848,745,723,699,687,675,,440,443,139,130,113,127,124,131,,81,80,29,26,20,18,14,15,,1052,1084,448,281,282,310,314,311,,1295,1320,610,404,366,344,327,317,,398,397,401,388,,,18,24,22,,416,414,401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,Cato Network,,,,Sentinelone,,
Cumulative traffic*,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,,2025 Dec,2026 Jan,2026 Feb,,2025 Dec,2026 Jan,2026 Feb
Ransomware,3312,4354,5383,5796,7556,11049,11290,8071,,636,718,392,561,551,2223,3294,4142,,8,9,25,48,40,29,20,46,,1150,1340,1239,1220,1416,1721,1786,1826,,19231,7786,8295,11713,8505,8967,19872,19340,,4057,4507,3898,4491,,,30,2,7,,2286,2378,2139
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,Cato Network,,,,Sentinelone,,
No. of KWs Ranking on Page 1,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,,2025 Dec,2026 Jan,2026 Feb,,2025 Dec,2026 Jan,2026 Feb
Ransomware,499,564,594,639,660,627,618,597,,69,77,53,57,63,69,68,73,,2,2,5,12,10,8,5,6,,184,205,202,187,212,213,222,209,,349,370,312,288,289,258,237,209,,330,316,311,296,,,0,0,0,,339,329,314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,Cato Network,,,,Sentinelone,,
AIO,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,,2025 Dec,2026 Jan,2026 Feb,,2025 Dec,2026 Jan,2026 Feb
Ransomware,296,327,207,193,242,243,245,250,,152,164,63,54,91,99,92,92,,27,22,9,8,9,11,10,11,,224,253,89,53,111,128,130,124,,296,329,156,123,176,170,164,152,,189,183,189,181,,,17,23,19,,129,119,115
