,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,Cato Network,,,,Sentinelone,,
Total  Keywords,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,,2025 Dec,2026 Jan,2026 Feb,,2025 Dec,2026 Jan,2026 Feb
SASE ,184,202,186,175,181,189,196,193,,180,185,154,129,144,154,160,164,,98,83,37,33,45,65,70,65,,187,202,189,179,182,195,200,200,,150,170,101,65,99,114,114,105,,35,44,48,40,,,205,207,171,,51,53,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,Cato Network,,,,Sentinelone,,
Cumulative traffic*,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,,2025 Dec,2026 Jan,2026 Feb,,2025 Dec,2026 Jan,2026 Feb
SASE (> SV 50),13499,15964,9684,11031,8746,10024,10015,10369,,1713,2353,1932,1921,2090,1976,2109,3539,,125,80,181,227,107,137,118,189,,7562,8242,8130,8998,9442,10263,10660,10161,,671,849,780,818,1270,1368,1372,1472,,325,423,436,472,,,2456,2410,2352,,43,38,53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,Cato Network,,,,Sentinelone,,
No. of KWs Ranking on Page 1,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,,2025 Dec,2026 Jan,2026 Feb,,2025 Dec,2026 Jan,2026 Feb
SASE (> SV 50),148,161,169,165,167,179,188,179,,102,107,120,114,128,128,131,124,,5,9,7,14,13,16,15,12,,157,160,173,173,174,182,188,190,,13,28,32,37,54,57,52,46,,17,15,13,14,,,186,185,147,,11,11,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fortinet,,,,,,,,,Cisco,,,,,,,,,HPE,,,,,,,,,Palo Alto,,,,,,,,,Checkpoint,,,,,,,,,Crowdstrike,,,,,,Cato Network,,,,Sentinelone,,
AIO,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Jul,2025 Aug,2025 Sep,2025 Oct,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,2025 Nov,2025 Dec,2026 Jan,2026 Feb,,,2025 Dec,2026 Jan,2026 Feb,,2025 Dec,2026 Jan,2026 Feb
SASE (> SV 50),148,161,169,165,167,179,188,179,,102,107,120,114,128,128,131,124,,5,9,7,14,13,16,15,12,,157,160,173,173,174,182,188,190,,13,28,32,37,54,57,52,46,,17,15,13,14,,,186,185,147,,11,11,7
